id = 99
editor = DM
# data restricted to DVCS kinematics Q2> 1.5 GeV^2 and -t/Q2 < 0.25
# only data are taken where 18 bins and more are filled

### Experiment E145M2

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = CLAS data base E145M2, restricted kinematics

### Scattering Process

frame = Trento

in1energy = 5.75
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Helicity Independent Cross Section
0.244   1.79    0.11    22.34   0.0168  0.0678  0.0106
0.244   1.79    0.11    37.27   0.0945  0.0566  0.0187
0.244   1.79    0.11    52.23   0.1268  0.0516  0.0162
0.244   1.79    0.11    67.21   0.1395  0.0587  0.0407
0.244   1.79    0.11    82.21   0.0184  0.0592  0.0122
0.244   1.79    0.11    97.22   0.1151  0.0496  0.0211
0.244   1.79    0.11    112.25  0.0845  0.0414  0.0234
0.244   1.79    0.11    127.28  0.1211  0.061   0.023
0.244   1.79    0.11    142.33  -0.1076 0.0834  0.0331
0.244   1.79    0.11    157.39  0.0664  0.0834  0.0496
0.244   1.79    0.11    172.46  0   0   0
0.244   1.79    0.11    187.54  0   0   0
0.244   1.79    0.11    202.61  0   0   0
0.244   1.79    0.11    217.67  0   0   0
0.244   1.79    0.11    232.72  0   0   0
0.244   1.79    0.11    247.75  -0.0944 0.0466  0.0258
0.244   1.79    0.11    262.78  -0.0847 0.04    0.0214
0.244   1.79    0.11    277.79  -0.0396 0.0575  0.0185
0.244   1.79    0.11    292.79  -0.1815 0.0519  0.0615
